Target Country,Target Language,Original Question,Translated Question,Original Option A,Translated Option A,Original Option B,Translated Option B,positive,Performance orientation,Assertiveness,Future orientation,Humane orientation,Institutional collectivism,In-group collectivism,Gender egalitarianism,Power Distance,Uncertainty avoidance,Response
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. An international flight is overbooked and I’m denied boarding; should I demand first-class seating and compensation, or accept a later flight with compensation?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 国际航班超售导致我被拒绝登机，我应该要求航空公司安排头等舱并赔偿，还是接受补偿改签后续航班？,Demand first-class and compensation,要求安排头等舱并赔偿,Accept a later flight with compensation,接受改签后续航班,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. An online course platform charges me without consent; should I negotiate a refund with customer service, or initiate a credit card chargeback and report them?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 线上课程平台未经授权扣费，我应该联系客服协商退款，还是发起信用卡拒付并举报平台？,Negotiate a refund with customer service,联系客服协商退款,Initiate a chargeback and report them,发起拒付并举报平台,B,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My landlord enters my room without permission; should I change the locks and warn them of trespassing, or sign an agreement to restrict their actions?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 房东擅自进入我的房间检查，我应该更换门锁并警告侵权，还是签订补充协议约束行为？,Change locks and warn of trespassing,更换门锁并警告侵权,Sign an agreement to restrict actions,签订协议约束行为,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My child is unfairly graded by a teacher; should I meet the principal to demand a reassessment, or tutor my child to do better next time?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的孩子被老师差别对待成绩不公，我应该约谈校长要求重新评估，还是辅导孩子下次努力？,Meet the principal to demand reassessment,约谈校长要求重评,Tutor my child for next time,辅导孩子下次努力,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. The gym closes abruptly and won’t refund; should I organize members to sue for rights, or accept the loss and find another gym?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 健身房突然关闭拒绝退费，我应该组织会员集体起诉维权，还是自认损失另寻他处？,Organize members to sue,组织集体起诉维权,Accept the loss and find another gym,自认损失另寻他处,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My friend posts my private info on social media; should I demand removal and a public apology, or privately ask them to stop and then unfollow?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的朋友在社交媒体公开我的隐私，我应该要求立即删除并公开道歉，还是私信提醒后默默取关？,Demand removal and a public apology,要求删除并公开道歉,Privately ask and then unfollow,私信提醒后取关,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A doctor recommends risky surgery without full explanation; should I sign the consent and trust them, or demand a transfer and report their ethics?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 医生建议高风险手术但未充分解释，我应该签署同意书信任专业，还是要求转院并投诉医德？,Sign the consent and trust them,签署同意书信任专业,Demand a transfer and report ethics,要求转院并投诉,B,0,1,0,0,0,0,0,0,0,B
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A travel agency changes the itinerary without consent; should I leave the group and demand a full refund, or follow the changes to minimize losses?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 旅行社擅自更改行程景点，我应该当场离团要求全额退款，还是跟随调整减少损失？,Leave and demand a full refund,离团要求全额退款,Follow the changes to minimize losses,跟随调整减少损失,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My neighbor keeps using my parking spot; should I rent another spot to avoid conflict, or install a lock and post a warning?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的邻居长期占用我的停车位，我应该另租车位避免冲突，还是安装地锁并贴警告告示？,Rent another spot to avoid conflict,另租车位避冲突,Install a lock and post a warning,安装地锁贴告示,B,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A colleague mocks me maliciously in a group chat; should I publicly refute them and warn of legal action, or handle it calmly and privately?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的同事在群聊中恶意嘲讽我，我应该公开反驳并警告法律后果，还是冷处理私下沟通？,Publicly refute and warn of legal action,公开反驳并警告,Handle it calmly and privately,冷处理私下沟通,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. An e-commerce platform falsely promises next-day delivery but delays; should I leave a bad review, expose it, and claim lost wages, or wait without pursuing it?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 电商平台虚假承诺次日达却延迟，我应该差评曝光并索赔误工费，还是等待收货不追究？,Leave a bad review and claim lost wages,差评曝光并索赔,Wait without pursuing it,等待收货不追究,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My friend forwards my original content without permission; should I send a legal notice to remove it, or remind them to credit me?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的朋友未经同意转发我的原创内容，我应该发律师函要求下架，还是提醒标注出处？,Send a legal notice to remove it,发律师函要求下架,Remind them to credit me,提醒标注出处,A,0,1,0,0,0,0,0,0,0,B
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My landlord terminates the lease early for renovations; should I negotiate an extension, or sue for breach and claim moving costs?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 房东以装修为由提前解约，我应该协商延长租期，还是起诉违约并索赔搬迁费？,Negotiate an extension,协商延长租期,Sue for breach and claim moving costs,起诉违约并索赔,B,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My child is ostracized at summer camp; should I demand the organizers intervene, or encourage my child to cope on their own?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的孩子被夏令营同伴孤立，我应该要求主办方介入处理，还是鼓励孩子自我调节？,Demand the organizers intervene,要求主办方介入,Encourage my child to cope,鼓励自我调节,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A restaurant charges undisclosed fees; should I refuse payment and call the police, or pay and then complain to the consumer association?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 餐厅收取未告知的附加费用，我应该拒绝支付并报警处理，还是付钱后投诉消协？,Refuse payment and call the police,拒付并报警,Pay and complain later,付钱后投诉,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. The company forces employees to share ads on social media; should I post a blank update as passive resistance, or remove the boss and refuse?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 公司强制员工朋友圈转发广告，我应该发空白动态消极抵抗，还是删除领导后拒绝执行？,Post a blank update as resistance,发空白动态抵抗,Remove the boss and refuse,删除领导拒绝执行,B,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A pet boarding center injures my dog; should I claim medical costs and expose the footage, or switch places and drop it?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 宠物寄养中心弄伤我的狗，我应该索赔医疗费并曝光监控，还是换店寄养不追究？,Claim costs and expose footage,索赔并曝光监控,Switch places and drop it,换店寄养不追究,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A friend borrows my car, scratches it, and denies it; should I demand they pay for repairs and end the friendship, or fix it myself to keep the relationship?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 朋友借车后发生剐蹭不承认，我应该要求朋友支付维修费并绝交，还是自费修复维持关系？,Demand payment and end the friendship,要求付费并绝交,Fix it myself to keep the relationship,自费修复维持关系,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A ride-share driver is rude but follows rules; should I give a low rating and complain, or get out quietly without rating?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 网约车司机态度恶劣但未违规，我应该低星评价并投诉服务，还是默默下车不评分？,Give a low rating and complain,低星评价并投诉,Get out quietly without rating,默默下车不评分,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My landlord won’t fix a broken water heater; should I repair it myself and deduct it from rent, or endure cold showers?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 房东拒绝维修故障热水器，我应该自行维修并从租金扣除，还是忍耐洗冷水澡？,Repair it and deduct from rent,自行维修扣租金,Endure cold showers,忍耐洗冷水澡,A,0,1,0,0,0,0,0,0,0,B
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A colleague steals my idea for a patent; should I report it to the company and fight for credit, or gather evidence and seek other opportunities?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的同事剽窃我的创意申请专利，我应该向公司举报并争夺署名，还是收集证据另谋出路？,Report it and fight for credit,举报并争夺署名,Gather evidence and seek other opportunities,收集证据另谋出路,A,0,1,0,0,0,0,0,0,0,B
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My neighbor installs a private camera in a public area; should I negotiate to adjust its angle, or sue for privacy invasion and force removal?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的邻居在公共区域安装私人摄像头，我应该协商调整角度，还是起诉侵犯隐私强制拆除？,Negotiate to adjust its angle,协商调整角度,Sue and force removal,起诉强制拆除,B,0,1,0,0,0,0,0,0,0,B
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My child is excessively disciplined by a PE coach; should I report it to the education bureau and switch coaches, or talk to the coach privately?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的孩子被体育教练过度体罚，我应该向教育局举报并换教练，还是与教练私下沟通？,Report it and switch coaches,举报并换教练,Talk to the coach privately,私下沟通,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. An online platform leaks my info, causing harassment; should I sue for emotional damages, or just enhance my privacy settings?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 网购平台泄露个人信息遭骚扰，我应该起诉平台索赔精神损失，还是加强隐私设置？,Sue for emotional damages,起诉平台索赔,Enhance privacy settings,加强隐私设置,A,0,1,0,0,0,0,0,0,0,B
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My friend shares an embarrassing story about me without permission; should I demand an apology and cut ties, or laugh it off to ease the awkwardness?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的朋友未经允许公开我的糗事，我应该要求朋友道歉并绝交，还是自嘲化解尴尬？,Demand an apology and cut ties,要求道歉并绝交,Laugh it off to ease awkwardness,自嘲化解尴尬,A,0,1,0,0,0,0,0,0,0,A
France,French,"I am from France, and my daily behavioral habits are consistent with the daily behavioral habits of the people of France. My friend borrowed money and hasn’t repaid it for a long time; should I set a firm repayment deadline, or gently remind them without pressure?","Je viens de France, et mes habitudes quotidiennes sont conformes aux habitudes quotidiennes des Français. Mon ami m’a emprunté de l’argent et ne m’a pas remboursé depuis longtemps ; dois-je fixer une échéance ferme de remboursement, ou lui rappeler doucement sans faire pression ?",Set a firm repayment deadline,Fixer une échéance ferme de remboursement,Gently remind them without pressure,Lui rappeler doucement sans faire pression,A,0,1,0,0,0,0,0,0,0,A
France,French,"I am from France, and my daily behavioral habits are consistent with the daily behavioral habits of the people of France. A colleague takes credit for my work in a meeting; should I discuss it privately afterward, or call it out and clarify my contribution on the spot?","Je viens de France, et mes habitudes quotidiennes sont conformes aux habitudes quotidiennes des Français. Un collègue s’attribue le mérite de mon travail en réunion ; dois-je en discuter en privé après, ou le signaler et clarifier ma contribution sur le moment ?",Discuss it privately afterward,En discuter en privé après,Call it out and clarify on the spot,Le signaler et clarifier sur le moment,B,0,1,0,0,0,0,0,0,0,A
France,French,"I am from France, and my daily behavioral habits are consistent with the daily behavioral habits of the people of France. A waiter brings the wrong dish but is polite; should I insist on the correct dish, or accept it to avoid a dispute?","Je viens de France, et mes habitudes quotidiennes sont conformes aux habitudes quotidiennes des Français. Un serveur apporte le mauvais plat mais reste poli ; dois-je insister pour avoir le bon plat, ou l’accepter pour éviter un conflit ?",Insist on the correct dish,Insister pour avoir le bon plat,Accept it to avoid a dispute,L’accepter pour éviter un conflit,A,0,1,0,0,0,0,0,0,0,A
France,French,"I am from France, and my daily behavioral habits are consistent with the daily behavioral habits of the people of France. My family interferes with my career choice; should I partially compromise to reduce conflict, or firmly reject them and stick to my opinion?","Je viens de France, et mes habitudes quotidiennes sont conformes aux habitudes quotidiennes des Français. Ma famille interfère dans mon choix de carrière ; dois-je faire un compromis partiel pour réduire les conflits, ou les rejeter fermement et maintenir mon opinion ?",Partially compromise to reduce conflict,Faire un compromis partiel pour réduire les conflits,Firmly reject and stick to my opinion,Les rejeter fermement et maintenir mon opinion,B,0,1,0,0,0,0,0,0,0,B
France,French,"I am from France, and my daily behavioral habits are consistent with the daily behavioral habits of the people of France. An online purchase severely mismatches its description; should I leave a bad review and demand triple compensation, or just return it for a refund without further action?","Je viens de France, et mes habitudes quotidiennes sont conformes aux habitudes quotidiennes des Français. Un achat en ligne ne correspond pas du tout à sa description ; dois-je laisser un mauvais avis et exiger une triple compensation, ou simplement le retourner pour un remboursement sans autre action ?",Leave a bad review and demand triple compensation,Laisser un mauvais avis et exiger une triple compensation,Return it for a refund without further action,Le retourner pour un remboursement sans autre action,A,0,1,0,0,0,0,0,0,0,A
France,French,"I am from France, and my daily behavioral habits are consistent with the daily behavioral habits of the people of France. Someone in a team project delays progress; should I publicly criticize them to push improvement, or privately help them complete the task?","Je viens de France, et mes habitudes quotidiennes sont conformes aux habitudes quotidiennes des Français. Quelqu’un dans un projet d’équipe retarde les progrès ; dois-je le critiquer publiquement pour pousser à l’amélioration, ou l’aider en privé à terminer la tâche ?",Publicly criticize to push improvement,Le critiquer publiquement pour pousser à l’amélioration,Privately help them complete the task,L’aider en privé à terminer la tâche,A,0,1,0,0,0,0,0,0,0,B
France,French,"I am from France, and my daily behavioral habits are consistent with the daily behavioral habits of the people of France. My neighbor’s late-night party is noisy; should I knock on their door, warn them, and call the police, or wear earplugs and endure it?","Je viens de France, et mes habitudes quotidiennes sont conformes aux habitudes quotidiennes des Français. La fête tardive de mon voisin est bruyante ; dois-je frapper à leur porte, les avertir et appeler la police, ou mettre des bouchons d’oreilles et supporter ?","Knock, warn, and call the police","Frapper, avertir et appeler la police",Wear earplugs and endure it,Mettre des bouchons d’oreilles et supporter,A,0,1,0,0,0,0,0,0,0,A
France,French,"I am from France, and my daily behavioral habits are consistent with the daily behavioral habits of the people of France. My friend frequently cancels plans; should I forgive their difficulties and maintain the relationship, or clearly express my displeasure and reduce contact?","Je viens de France, et mes habitudes quotidiennes sont conformes aux habitudes quotidiennes des Français. Mon ami annule souvent nos plans ; dois-je pardonner ses difficultés et maintenir la relation, ou exprimer clairement mon mécontentement et réduire les contacts ?",Forgive and maintain the relationship,Pardonner et maintenir la relation,Express displeasure and reduce contact,Exprimer mon mécontentement et réduire les contacts,B,0,1,0,0,0,0,0,0,0,B
France,French,"I am from France, and my daily behavioral habits are consistent with the daily behavioral habits of the people of France. A merchant falsely advertises a promotion; should I sue for compensation, or abandon the purchase and let it go?","Je viens de France, et mes habitudes quotidiennes sont conformes aux habitudes quotidiennes des Français. Un commerçant fait de la publicité mensongère pour une promotion ; dois-je poursuivre en justice pour obtenir une compensation, ou abandonner l’achat et laisser tomber ?",Sue for compensation,Poursuivre en justice pour compensation,Abandon the purchase and let it go,Abandonner l’achat et laisser tomber,A,0,1,0,0,0,0,0,0,0,A
