Target Country,"Target Language","Original Question","Translated Question","Original Option A","Translated Option A","Original Option B",Translated Option B,positive,Performance orientation,Assertiveness,Future orientation,Humane orientation,Institutional collectivism,In-group collectivism,Gender egalitarianism,Power Distance,Uncertainty avoidance
China,"Chinese","A taxi driver intentionally takes a longer route; should I confront them on the spot and refuse payment, or pay quietly and keep evidence?","出租车司机故意绕远路，我应该当场拆穿拒付车费，还是默默支付保留证据？","Confront and refuse payment","当场拆穿拒付车费","Pay quietly and keep evidence",默默支付保留证据,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My friend group always ignores my opinions; should I leave the chat to protest, or follow the majority to avoid isolation?","我的朋友群决策总忽略我的意见，我应该退出群聊表达抗议，还是跟随多数避免孤立？","Leave the chat to protest","退出群聊表达抗议","Follow the majority to avoid isolation",跟随多数避免孤立,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A gym trainer pushes an expensive course; should I directly refuse and report harassment, or make excuses to decline politely?","健身房私教推销高价课程，我应该直接拒绝并投诉骚扰，还是找借口婉拒？","Directly refuse and report harassment","直接拒绝并投诉骚扰","Make excuses to decline politely",找借口婉拒,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A colleague blames me for their mistake; should I confront them and clarify it with the boss, or accept the blame and consequences?","同事将错误推卸给我，我应该当面对质并找领导澄清，还是自认倒霉承担后果？","Confront and clarify with the boss","当面对质并找领导澄清","Accept the blame and consequences",自认倒霉承担后果,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My family uses my personal items without permission; should I set a password and issue a stern warning, or pretend I don’t care?","我的家人未经允许使用我的私人物品，我应该设密码并严肃警告，还是假装不在意？","Set a password and issue a stern warning","设密码并严肃警告","Pretend I don’t care",假装不在意,A,0,1,0,0,0,0,0,0,0
China,"Chinese","An interviewer asks about private matters; should I challenge its legality and end the interview, or give vague answers to continue the job hunt?","面试官问及隐私问题，我应该反问其合法性并终止面试，还是模糊回答继续求职？","Challenge its legality and end the interview","反问其合法性并终止面试","Give vague answers to continue",模糊回答继续求职,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My friend suggests a high-risk investment; should I analyze it, refuse, and explain why, or invest a little to save face?","我的朋友推荐高风险投资，我应该分析后拒绝并说明理由，还是碍于情面少量投入？","Analyze, refuse, and explain why","分析后拒绝并说明理由","Invest a little to save face",碍于情面少量投入,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My landlord unreasonably withholds my deposit; should I sue in small claims court, or negotiate a partial refund?","房东无理扣押押金，我应该起诉至小额法庭，还是协商部分退还？","Sue in small claims court","起诉至小额法庭","Negotiate a partial refund",协商部分退还,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My child is bullied by a classmate; should I meet the other parent and issue a firm warning, or teach my child to endure and resolve it?","我的孩子被同学欺负，我应该约见对方家长强硬警告，还是教孩子忍让化解矛盾？","Meet the parent and issue a firm warning","约见对方家长强硬警告","Teach my child to endure and resolve it",教孩子忍让化解矛盾,A,0,1,0,0,0,0,0,0,0
China,"Chinese","An online seller insults me; should I publicly expose them and seek accountability, or block them and deal with it quietly?","网购遭遇商家辱骂，我应该公开曝光并追责，还是拉黑商家默默消化？","Publicly expose and seek accountability","公开曝光并追责","Block them and deal with it quietly",拉黑商家默默消化,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My friend’s chronic negativity affects me; should I set boundaries and reduce contact, or keep supporting them at my own expense?","我的朋友长期负面情绪影响我，我应该划清界限减少接触，还是继续陪伴压抑自我？","Set boundaries and reduce contact","划清界限减少接触","Keep supporting them at my own expense",继续陪伴压抑自我,A,0,1,0,0,0,0,0,0,0
China,"Chinese","The company expects regular unpaid overtime; should I organize a group protest with colleagues, or silently adapt to the workplace culture?","公司要求无偿加班成常态，我应该组织同事集体抗议，还是默默适应职场文化？","Organize a group protest","组织同事集体抗议","Silently adapt to the culture",默默适应职场文化,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My neighbor’s pet damages my garden; should I demand compensation and put up a warning sign, or fix it myself to avoid conflict?","邻居宠物破坏我的花园，我应该要求赔偿并立警示牌，还是自行修复避免冲突？","Demand compensation and put up a sign","要求赔偿并立警示牌","Fix it myself to avoid conflict",自行修复避免冲突,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My family disapproves of my partner; should I elope and cut ties, or break up to maintain family harmony?","我的家人否定我的婚恋对象，我应该私奔并断绝联系，还是分手维持家庭和谐？","Elope and cut ties","私奔并断绝联系","Break up to maintain harmony",分手维持家庭和谐,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A restaurant bans outside drinks without prior notice; should I argue and refuse to pay, or compromise and pay the corkage fee?","餐厅禁止自带酒水但未提前告知，我应该据理力争拒绝消费，还是妥协支付开瓶费？","Argue and refuse to pay","据理力争拒绝消费","Compromise and pay the fee",妥协支付开瓶费,A,0,1,0,0,0,0,0,0,0
China,"Chinese","An international flight is overbooked and I’m denied boarding; should I demand first-class seating and compensation, or accept a later flight with compensation?","国际航班超售导致我被拒绝登机，我应该要求航空公司安排头等舱并赔偿，还是接受补偿改签后续航班？","Demand first-class and compensation","要求安排头等舱并赔偿","Accept a later flight with compensation",接受改签后续航班,A,0,1,0,0,0,0,0,0,0
China,"Chinese","An online course platform charges me without consent; should I initiate a credit card chargeback and report them, or negotiate a refund with customer service?","线上课程平台未经授权扣费，我应该发起信用卡拒付并举报平台，还是联系客服协商退款？","Initiate a chargeback and report them","发起拒付并举报平台","Negotiate a refund with customer service",联系客服协商退款,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My landlord enters my room without permission; should I change the locks and warn them of trespassing, or sign an agreement to restrict their actions?","房东擅自进入我的房间检查，我应该更换门锁并警告侵权，还是签订补充协议约束行为？","Change locks and warn of trespassing","更换门锁并警告侵权","Sign an agreement to restrict actions",签订协议约束行为,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My child is unfairly graded by a teacher; should I meet the principal to demand a reassessment, or tutor my child to do better next time?","我的孩子被老师差别对待成绩不公，我应该约谈校长要求重新评估，还是辅导孩子下次努力？","Meet the principal to demand reassessment","约谈校长要求重评","Tutor my child for next time",辅导孩子下次努力,A,0,1,0,0,0,0,0,0,0
China,"Chinese","The gym closes abruptly and won’t refund; should I organize members to sue for rights, or accept the loss and find another gym?","健身房突然关闭拒绝退费，我应该组织会员集体起诉维权，还是自认损失另寻他处？","Organize members to sue","组织集体起诉维权","Accept the loss and find another gym",自认损失另寻他处,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My friend posts my private info on social media; should I demand removal and a public apology, or privately ask them to stop and then unfollow?","我的朋友在社交媒体公开我的隐私，我应该要求立即删除并公开道歉，还是私信提醒后默默取关？","Demand removal and a public apology","要求删除并公开道歉","Privately ask and then unfollow",私信提醒后取关,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A doctor recommends risky surgery without full explanation; should I demand a transfer and report their ethics, or sign the consent and trust them?","医生建议高风险手术但未充分解释，我应该要求转院并投诉医德，还是签署同意书信任专业？","Demand a transfer and report ethics","要求转院并投诉","Sign the consent and trust them",签署同意书信任专业,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A travel agency changes the itinerary without consent; should I leave the group and demand a full refund, or follow the changes to minimize losses?","旅行社擅自更改行程景点，我应该当场离团要求全额退款，还是跟随调整减少损失？","Leave and demand a full refund","离团要求全额退款","Follow the changes to minimize losses",跟随调整减少损失,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My neighbor keeps using my parking spot; should I install a lock and post a warning, or rent another spot to avoid conflict?","我的邻居长期占用我的停车位，我应该安装地锁并贴警告告示，还是另租车位避免冲突？","Install a lock and post a warning","安装地锁贴告示","Rent another spot to avoid conflict",另租车位避冲突,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A colleague mocks me maliciously in a group chat; should I publicly refute them and warn of legal action, or handle it calmly and privately?","我的同事在群聊中恶意嘲讽我，我应该公开反驳并警告法律后果，还是冷处理私下沟通？","Publicly refute and warn of legal action","公开反驳并警告","Handle it calmly and privately",冷处理私下沟通,A,0,1,0,0,0,0,0,0,0
China,"Chinese","An e-commerce platform falsely promises next-day delivery but delays; should I leave a bad review, expose it, and claim lost wages, or wait without pursuing it?","电商平台虚假承诺次日达却延迟，我应该差评曝光并索赔误工费，还是等待收货不追究？","Leave a bad review and claim lost wages","差评曝光并索赔","Wait without pursuing it",等待收货不追究,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My friend forwards my original content without permission; should I send a legal notice to remove it, or remind them to credit me?","我的朋友未经同意转发我的原创内容，我应该发律师函要求下架，还是提醒标注出处？","Send a legal notice to remove it","发律师函要求下架","Remind them to credit me",提醒标注出处,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My landlord terminates the lease early for renovations; should I sue for breach and claim moving costs, or negotiate an extension?","房东以装修为由提前解约，我应该起诉违约并索赔搬迁费，还是协商延长租期？","Sue for breach and claim moving costs","起诉违约并索赔","Negotiate an extension",协商延长租期,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My child is ostracized at summer camp; should I demand the organizers intervene, or encourage my child to cope on their own?","我的孩子被夏令营同伴孤立，我应该要求主办方介入处理，还是鼓励孩子自我调节？","Demand the organizers intervene","要求主办方介入","Encourage my child to cope",鼓励自我调节,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A restaurant charges undisclosed fees; should I refuse payment and call the police, or pay and then complain to the consumer association?","餐厅收取未告知的附加费用，我应该拒绝支付并报警处理，还是付钱后投诉消协？","Refuse payment and call the police","拒付并报警","Pay and complain later",付钱后投诉,A,0,1,0,0,0,0,0,0,0
China,"Chinese","The company forces employees to share ads on social media; should I remove the boss and refuse, or post a blank update as passive resistance?","公司强制员工朋友圈转发广告，我应该删除领导后拒绝执行，还是发空白动态消极抵抗？","Remove the boss and refuse","删除领导拒绝执行","Post a blank update as resistance",发空白动态抵抗,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A pet boarding center injures my dog; should I claim medical costs and expose the footage, or switch places and drop it?","宠物寄养中心弄伤我的狗，我应该索赔医疗费并曝光监控，还是换店寄养不追究？","Claim costs and expose footage","索赔并曝光监控","Switch places and drop it",换店寄养不追究,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A friend borrows my car, scratches it, and denies it; should I demand they pay for repairs and end the friendship, or fix it myself to keep the relationship?","朋友借车后发生剐蹭不承认，我应该要求朋友支付维修费，还是自费修复维持关系？","Demand payment and end the friendship","要求付费并绝交","Fix it myself to keep the relationship",自费修复维持关系,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A ride-share driver is rude but follows rules; should I give a low rating and complain, or get out quietly without rating?","网约车司机态度恶劣但未违规，我应该低星评价并投诉服务，还是默默下车不评分？","Give a low rating and complain","低星评价并投诉","Get out quietly without rating",默默下车不评分,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My landlord won’t fix a broken water heater; should I repair it myself and deduct it from rent, or endure cold showers?","房东拒绝维修故障热水器，我应该自行维修并从租金扣除，还是忍耐洗冷水澡？","Repair it and deduct from rent","自行维修扣租金","Endure cold showers",忍耐洗冷水澡,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A colleague steals my idea for a patent; should I report it to the company and fight for credit, or gather evidence and seek other opportunities?","我的同事剽窃我的创意申请专利，我应该向公司举报并争夺署名，还是收集证据另谋出路？","Report it and fight for credit","举报并争夺署名","Gather evidence and seek other opportunities",收集证据另谋出路,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My neighbor installs a private camera in a public area; should I sue for privacy invasion and force removal, or negotiate to adjust its angle?","我的邻居在公共区域安装私人摄像头，我应该起诉侵犯隐私强制拆除，还是协商调整角度？","Sue and force removal","起诉强制拆除","Negotiate to adjust its angle",协商调整角度,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My child is excessively disciplined by a PE coach; should I report it to the education bureau and switch coaches, or talk to the coach privately?","我的孩子被体育教练过度体罚，我应该向教育局举报并换教练，还是与教练私下沟通？","Report it and switch coaches","举报并换教练","Talk to the coach privately",私下沟通,A,0,1,0,0,0,0,0,0,0
China,"Chinese","An online platform leaks my info, causing harassment; should I sue for emotional damages, or just enhance my privacy settings?","网购平台泄露个人信息遭骚扰，我应该起诉平台索赔精神损失，还是加强隐私设置？","Sue for emotional damages","起诉平台索赔","Enhance privacy settings",加强隐私设置,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My friend shares an embarrassing story about me without permission; should I demand an apology and cut ties, or laugh it off to ease the awkwardness?","我的朋友未经允许公开我的糗事，我应该要求朋友道歉，还是自嘲化解尴尬？","Demand an apology and cut ties","要求道歉并绝交","Laugh it off to ease awkwardness",自嘲化解尴尬,A,0,1,0,0,0,0,0,0,0
